conversation_id,raw_tweets_info,tweet_ids,user_ids,conversation_length,airlines_involved
160,"[(737291700041830401, 559531874), (737290971784859648, 38676903)]","[737291700041830401, 737290971784859648]","[559531874, 38676903]",2,easyJet
323,"[(738670024022499328, 708474694404608001), (738664462329221120, 1384797350)]","[738670024022499328, 738664462329221120]","[708474694404608001, 1384797350]",2,No airlines involved
326,"[(738669982469492736, 244617028), (738669552167444480, 75848890), (738668965447241728, 244617028)]","[738669982469492736, 738669552167444480, 738668965447241728]","[244617028, 75848890, 244617028]",3,No airlines involved
410,"[(738669309191409664, 18137607), (738663994077138944, 18137607), (738662458219495424, 18137607)]","[738669309191409664, 738663994077138944, 738662458219495424]","[18137607, 18137607, 18137607]",3,No airlines involved
426,"[(738668975538774016, 12274222), (738668761335627776, 12274222)]","[738668975538774016, 738668761335627776]","[12274222, 12274222]",2,No airlines involved
436,"[(738668690116333568, 3405659283), (738665699091066880, 377307157)]","[738668690116333568, 738665699091066880]","[3405659283, 377307157]",2,No airlines involved
484,"[(738667862559215616, 233572041), (738636565963014144, 233572041)]","[738667862559215616, 738636565963014144]","[233572041, 233572041]",2,No airlines involved
499,"[(738667554097487872, 296117038), (738651288829857792, 296117038)]","[738667554097487872, 738651288829857792]","[296117038, 296117038]",2,No airlines involved
502,"[(738667486925709312, 84134131), (738663376377778176, 84134131)]","[738667486925709312, 738663376377778176]","[84134131, 84134131]",2,No airlines involved
602,"[(738665984567939073, 2737258906), (738665310161637376, 2737258906)]","[738665984567939073, 738665310161637376]","[2737258906, 2737258906]",2,No airlines involved
606,"[(738665936404779008, 38676903), (738341882829393920, 397557565)]","[738665936404779008, 738341882829393920]","[38676903, 397557565]",2,easyJet
625,"[(738665674717958145, 38676903), (738345622621818880, 211143930)]","[738665674717958145, 738345622621818880]","[38676903, 211143930]",2,easyJet
626,"[(738665674290139136, 38676903), (738345038443216896, 236513487)]","[738665674290139136, 738345038443216896]","[38676903, 236513487]",2,easyJet
627,"[(738665672482377729, 38676903), (738340267296718848, 142621908)]","[738665672482377729, 738340267296718848]","[38676903, 142621908]",2,easyJet
630,"[(738665668388786176, 38676903), (738127970703974400, 46422086)]","[738665668388786176, 738127970703974400]","[38676903, 46422086]",2,easyJet
634,"[(738665578727133184, 38676903), (738327779255721984, 1329139868)]","[738665578727133184, 738327779255721984]","[38676903, 1329139868]",2,easyJet
652,"[(738665260186513408, 377307157), (738663493155606528, 3405659283)]","[738665260186513408, 738663493155606528]","[377307157, 3405659283]",2,No airlines involved
665,"[(738665027108933632, 20928650), (738640367654834176, 20928650)]","[738665027108933632, 738640367654834176]","[20928650, 20928650]",2,No airlines involved
669,"[(738664910918438912, 609993152), (738642231960162304, 61499802)]","[738664910918438912, 738642231960162304]","[609993152, 61499802]",2,No airlines involved
678,"[(738664770526679040, 1384797350), (738663810353881088, 3626140153)]","[738664770526679040, 738663810353881088]","[1384797350, 3626140153]",2,No airlines involved
686,"[(738664616838959104, 737797333543464960), (738642468065955840, 2295899390)]","[738664616838959104, 738642468065955840]","[737797333543464960, 2295899390]",2,No airlines involved
714,"[(738664178106388480, 3028128673), (738663138523000832, 37713789)]","[738664178106388480, 738663138523000832]","[3028128673, 37713789]",2,No airlines involved
726,"[(738664029133012993, 738142502528548864), (738481024674332672, 2863142506)]","[738664029133012993, 738481024674332672]","[738142502528548864, 2863142506]",2,No airlines involved
744,"[(738663812212129792, 3294340433), (738452696731127808, 3294340433)]","[738663812212129792, 738452696731127808]","[3294340433, 3294340433]",2,No airlines involved
774,"[(738663468245618688, 39999078), (738661184686133248, 1577415096)]","[738663468245618688, 738661184686133248]","[39999078, 1577415096]",2,No airlines involved
808,"[(738663122324443136, 218730857), (738662067062767616, 7551052)]","[738663122324443136, 738662067062767616]","[218730857, 7551052]",2,Qantas
862,"[(738662347884142592, 350357990), (738660743122452480, 350357990)]","[738662347884142592, 738660743122452480]","[350357990, 350357990]",2,No airlines involved
880,"[(738662114840186880, 1505322494), (738474425570480128, 1505322494)]","[738662114840186880, 738474425570480128]","[1505322494, 1505322494]",2,No airlines involved
914,"[(738661617961963520, 36972841), (738650530843656192, 19563048)]","[738661617961963520, 738650530843656192]","[36972841, 19563048]",2,No airlines involved
967,"[(738661208233021441, 369605085), (738653944432459776, 369605085)]","[738661208233021441, 738653944432459776]","[369605085, 369605085]",2,No airlines involved
982,"[(738660994638086144, 2329839168), (738660563027382272, 114512948)]","[738660994638086144, 738660563027382272]","[2329839168, 114512948]",2,No airlines involved
984,"[(738660982961115137, 244617028), (738654853401063424, 75848890)]","[738660982961115137, 738654853401063424]","[244617028, 75848890]",2,No airlines involved
992,"[(738660850471428096, 40307050), (738652535926489088, 162136023)]","[738660850471428096, 738652535926489088]","[40307050, 162136023]",2,No airlines involved
997,"[(738660782657970176, 371585866), (738609312377929728, 42802981)]","[738660782657970176, 738609312377929728]","[371585866, 42802981]",2,No airlines involved
1002,"[(738660714341093378, 708474694404608001), (738660568966565888, 1384797350)]","[738660714341093378, 738660568966565888]","[708474694404608001, 1384797350]",2,No airlines involved
1012,"[(738660548737421312, 1560764682), (738660236098207744, 1542862735), (738659594742976512, 1560764682)]","[738660548737421312, 738660236098207744, 738659594742976512]","[1560764682, 1542862735, 1560764682]",3,RyanAir
1061,"[(738659745414975488, 199690480), (738656743949901824, 1542862735)]","[738659745414975488, 738656743949901824]","[199690480, 1542862735]",2,RyanAir
1083,"[(738659500530532352, 38676903), (738335381284921344, 20177808)]","[738659500530532352, 738335381284921344]","[38676903, 20177808]",2,easyJet
1098,"[(738659317394640896, 236966886), (738633373493526528, 36292202)]","[738659317394640896, 738633373493526528]","[236966886, 36292202]",2,No airlines involved
1124,"[(738659117259206657, 277022211), (738651981598855168, 129487120)]","[738659117259206657, 738651981598855168]","[277022211, 129487120]",2,No airlines involved
1159,"[(738658468060598272, 423424782), (738655041125548032, 897496310)]","[738658468060598272, 738655041125548032]","[423424782, 897496310]",2,No airlines involved
1160,"[(738658454789881856, 172026723), (738634711266918400, 38676903)]","[738658454789881856, 738634711266918400]","[172026723, 38676903]",2,easyJet
1181,"[(738658207695044608, 319590522), (738350209055481856, 1641028950)]","[738658207695044608, 738350209055481856]","[319590522, 1641028950]",2,No airlines involved
